V1	V2	coex_TNV.tsv	ppi.tsv	coex_SPL.tsv	HP.tsv	coex_BRO.tsv	coex_GEJ.tsv	coex_SKN.tsv	coex_BRC.tsv	coex_ARG.tsv	coex_CLS.tsv	MP.tsv	coex_FIB.tsv
KHDC3L	CYP26C1	0	0	0	1	0	0	0	0	0	0	0	0
GLB1	SPG11	0	0	0	0	0	0	0	0	0	1	0	0
FAM126A	SPG11	0	0	0	1	0	0	0	0	0	0	0	0
IGHMBP2	SPG11	0	0	0	1	0	0	0	0	0	0	0	0
NAGLU	GLB1	0	0	0	1	0	0	0	0	0	0	0	0
SGPL1	SARS1	0	0	0	0	0	0	0	0	0	0	0	1
SGPL1	GLB1	0	0	1	0	0	0	0	0	0	0	0	0
APOL2	PLA2G15	0	0	0	0	0	0	0	0	1	0	0	0
HSCB	GLB1	0	1	0	0	0	0	0	0	0	0	0	0
HSCB	HSCB	0	1	0	0	0	0	0	0	0	0	0	0
DGAT2	SGPL1	0	0	0	0	0	0	1	0	0	0	0	0
LACC1	SCN11A	0	1	0	0	0	0	0	0	0	0	0	0
ALDH3A2	HSCB	0	1	0	0	0	0	0	0	0	0	0	0
ATL3	NARS1	0	0	0	0	0	1	0	0	0	0	0	0
ATL3	SPG11	0	0	0	0	0	0	0	0	1	0	0	0
ATL3	SGPL1	0	0	0	0	1	0	0	0	0	0	0	0
ATL3	HSCB	0	0	0	0	0	0	0	0	1	0	0	0
ATL3	ALDH3A2	0	1	0	0	0	0	0	0	0	0	0	0
IARS2	SPG11	0	0	0	0	0	0	0	0	0	1	0	0
IARS2	HSCB	0	1	0	0	0	0	0	0	0	0	0	0
IARS2	ATL3	0	0	1	0	0	0	0	0	0	0	0	0
POLR3B	NARS1	0	0	0	0	0	0	0	0	1	0	0	1
POLR3B	SPG11	0	0	0	1	0	0	0	0	0	0	0	0
POLR3B	GLB1	0	0	0	0	0	0	0	0	0	1	0	0
POLR3B	FAM126A	0	0	0	1	0	0	0	0	0	0	0	0
POLR3B	ALDH3A2	0	0	0	0	0	0	1	0	0	0	0	0
FNDC3A	HSCB	0	1	0	0	0	0	0	0	0	0	0	0
CAPZA2	NARS1	0	0	0	0	0	1	0	0	0	0	0	0
CAPZA2	SPG11	0	0	0	0	0	0	0	0	1	0	0	0
CAPZA2	GLB1	0	0	1	0	0	0	0	0	0	0	0	0
CAPZA2	ALDH3A2	0	1	0	0	0	0	0	0	0	0	0	0
C19orf12	SPG11	0	0	0	1	0	0	0	0	0	0	0	0
C19orf12	FAM126A	0	0	0	1	0	0	0	0	0	0	0	0
C19orf12	HSCB	0	0	0	0	0	0	0	0	1	0	0	1
CIAPIN1	CIAPIN1	0	1	0	0	0	0	0	0	0	0	0	0
SDHA	NARS1	0	0	0	0	0	0	0	0	0	1	0	0
SDHA	SARS1	0	0	0	0	0	0	0	1	0	0	0	0
SDHA	SPG11	0	0	0	0	0	0	0	0	0	1	0	0
SDHA	GLB1	0	0	1	0	0	0	0	0	0	1	0	0
SDHA	POLR3B	0	1	0	0	0	0	0	0	0	0	0	0
MPV17	HSCB	0	1	0	0	0	0	0	0	0	0	0	0
SYT2	NEFH	0	0	0	0	1	0	0	0	0	0	0	0
GNB4	CAPZA2	0	0	1	0	0	0	0	0	0	0	0	0
GJB2	PRDM12	0	0	0	1	0	0	0	0	0	0	0	0
GJB2	GJB2	0	1	0	0	0	0	0	0	0	0	0	0
AFG3L2	SARS1	0	0	0	0	0	1	0	0	0	0	0	0
AFG3L2	SPG11	0	0	0	1	0	0	0	0	0	0	0	0
AFG3L2	FAM126A	0	0	0	1	0	0	0	0	0	0	0	0
AFG3L2	POLR3B	0	0	0	1	0	0	0	0	1	0	0	1
AFG3L2	C19orf12	0	0	0	1	0	0	0	0	0	0	0	0
AFG3L2	SDHA	0	0	0	1	0	0	0	0	0	0	0	0
JPH1	CYP26C1	0	0	0	1	0	0	0	0	0	0	0	0
JPH1	KHDC3L	0	0	0	1	0	0	0	0	0	0	0	0
JPH1	SPG11	0	0	0	1	0	0	0	0	0	0	0	0
JPH1	IGHMBP2	0	0	0	1	0	0	0	0	0	0	0	0
JPH1	JPH1	0	1	0	0	0	0	0	0	0	0	0	0
CNST	GJB2	0	1	0	0	0	0	0	0	0	0	0	0
SIGMAR1	SARS1	0	0	1	0	0	0	0	0	0	0	0	0
SIGMAR1	SPG11	0	0	0	1	0	0	0	0	0	0	0	0
SIGMAR1	HSCB	0	1	0	0	0	0	0	0	0	0	0	0
SIGMAR1	POLR3B	0	0	0	0	0	0	0	0	1	0	0	0
SIGMAR1	C19orf12	0	0	0	1	0	0	0	0	0	0	0	0
SIGMAR1	SYT2	0	0	0	1	0	0	0	0	0	0	0	0
SIGMAR1	GNB4	0	0	0	1	0	0	0	0	0	0	0	0
SIGMAR1	JPH1	0	0	0	1	0	0	0	0	0	0	0	0
SIGMAR1	SIGMAR1	0	1	0	0	0	0	0	0	0	0	0	0
DCAF8	SPG11	0	0	1	0	0	0	0	0	0	0	0	0
DCAF8	SYT2	0	0	0	1	0	0	0	0	0	0	0	0
DCAF8	GNB4	0	0	0	1	0	0	0	0	0	0	0	0
DCAF8	JPH1	0	0	0	1	0	0	0	0	0	0	0	0
DCAF8	SIGMAR1	0	0	0	1	0	0	0	0	0	0	0	0
ERLIN2	SPG11	0	0	0	1	0	0	0	0	0	0	0	0
ERLIN2	FAM126A	0	0	0	1	0	0	0	0	0	0	0	0
ERLIN2	ATL3	0	0	0	0	0	0	0	0	1	0	0	0
ERLIN2	POLR3B	0	0	0	1	0	0	0	0	0	0	0	0
ERLIN2	CAPZA2	0	0	0	0	0	0	0	0	1	0	0	0
ERLIN2	C19orf12	0	0	0	1	0	0	0	0	0	0	0	0
ERLIN2	AFG3L2	0	0	0	1	0	0	0	0	0	0	0	0
ERLIN2	SIGMAR1	0	0	0	1	0	0	0	0	0	0	0	0
SURF1	CYP26C1	0	0	0	1	0	0	0	0	0	0	0	0
SURF1	KHDC3L	0	0	0	1	0	0	0	0	0	0	0	0
SURF1	FAM126A	0	0	0	1	0	0	0	0	0	0	0	0
SURF1	NAGLU	0	0	0	0	0	0	0	1	0	0	0	0
SURF1	HSCB	0	0	0	0	0	0	0	0	0	1	0	1
SURF1	C19orf12	0	0	0	1	0	0	0	0	0	0	0	0
SURF1	SDHA	0	0	0	1	0	0	0	0	0	0	0	0
SURF1	AFG3L2	0	0	0	1	0	0	0	0	0	0	0	0
PSAT1	SARS1	0	0	0	0	0	0	0	0	0	0	0	1
PSAT1	SGPL1	0	1	0	0	0	0	0	0	0	0	0	0
PSAT1	ALDH3A2	0	0	0	0	0	0	1	0	0	0	0	0
PSAT1	POLR3B	0	0	0	0	0	0	1	0	0	0	0	0
PSAT1	ERLIN2	0	0	0	0	1	0	0	0	0	0	0	0
MFN2	SARS1	0	0	0	0	0	0	1	0	1	0	0	0
MFN2	SPG11	0	0	0	1	0	0	0	0	0	0	0	0
MFN2	FAM126A	0	0	0	1	0	0	0	0	0	0	0	0
MFN2	HSCB	0	1	0	0	0	0	0	0	0	0	0	0
MFN2	POLR3B	0	0	0	0	0	0	0	0	1	0	0	0
MFN2	C19orf12	0	0	0	1	0	0	0	0	0	0	0	0
MFN2	SYT2	0	0	0	1	0	0	0	0	0	0	0	0
MFN2	GNB4	0	0	0	1	0	0	0	0	0	0	0	0
MFN2	JPH1	0	0	0	1	0	0	0	0	0	0	0	0
MFN2	SIGMAR1	0	0	0	1	0	0	0	0	0	0	0	0
MFN2	DCAF8	0	0	0	1	0	0	0	0	0	0	0	0
MFN2	ERLIN2	0	0	0	1	0	0	0	0	0	0	0	0
MFN2	MFN2	0	1	0	0	0	0	0	0	0	0	0	0
ALS2	SPG11	0	0	0	1	0	0	0	0	0	0	0	1
ALS2	FAM126A	0	0	0	1	0	0	0	0	0	0	0	0
ALS2	ALDH3A2	0	0	1	0	0	0	0	0	0	0	0	0
ALS2	POLR3B	0	0	0	1	0	0	0	0	0	0	0	0
ALS2	C19orf12	0	0	0	1	0	0	0	0	0	0	0	0
ALS2	MPV17	0	0	0	0	0	0	0	0	0	1	0	0
ALS2	AFG3L2	0	0	0	1	0	0	0	0	0	0	0	0
ALS2	JPH1	0	0	0	0	0	0	0	1	0	0	0	0
ALS2	SIGMAR1	0	0	0	1	0	0	0	0	0	0	0	0
ALS2	ERLIN2	0	0	0	1	0	0	0	0	0	0	0	1
ALS2	MFN2	0	0	0	1	0	0	0	0	0	0	0	0
ALS2	ALS2	0	1	0	0	0	0	0	0	0	0	0	0
PARN	NARS1	0	0	0	0	0	1	0	0	0	0	0	0
PARN	SARS1	0	0	0	0	0	1	0	0	0	1	0	0
PARN	IARS2	0	0	0	0	0	0	1	0	0	0	0	0
PARN	CAPZA2	0	0	0	0	0	1	0	0	0	0	0	0
PARN	SDHA	0	0	1	0	0	1	0	0	0	0	0	0
PARN	GJB2	0	0	0	1	0	0	0	0	0	0	0	0
PARN	SIGMAR1	0	0	0	0	0	1	0	0	1	1	0	0
PARN	DCAF8	0	0	1	0	0	0	0	0	0	0	0	0
PARN	MFN2	0	0	0	0	0	1	0	0	0	1	0	0
