V1	V2	coex_THY.tsv	ppi.tsv	coex_KDN.tsv	coex_LNG.tsv	coex_ATT.tsv	coex_ITI.tsv	HP.tsv	MP.tsv	coex_PIT.tsv	coex_BRO.tsv	coex_ATC.tsv	reactome_copathway.tsv	coex_EMC.tsv	coex_WBL.tsv	coex_CLT.tsv	coex_BRB.tsv	coex_PNC.tsv	coex_HRV.tsv	coex_ATA.tsv	coex_core.tsv	coex_BRC.tsv
KHDC3L	CYP26C1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARP8	GPR132	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ICOSLG	PARP8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRAC	CYP26C1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRAC	KHDC3L	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GZMM	GPR132	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GZMM	ICOSLG	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX21	CYP26C1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX21	KHDC3L	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX21	GPR132	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX21	PARP8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX21	ICOSLG	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX21	GZMM	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PSD4	GPR132	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
PSD4	ICOSLG	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RORC	PSD4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TBC1D10C	GPR132	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TBC1D10C	PARP8	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TBC1D10C	ICOSLG	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBC1D10C	GZMM	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBC1D10C	TBX21	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBC1D10C	PSD4	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0
CYP2C19	CYP26C1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP2C19	KHDC3L	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP2C19	TRAC	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP2C19	TBX21	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP2C19	RORC	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF4	CYP26C1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF4	KHDC3L	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF4	GZMM	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TNFRSF4	TBX21	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TNFRSF4	CYP2C19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL21	CYP26C1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL21	KHDC3L	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL21	TRAC	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL21	CYP2C19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL21	AK2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD40LG	GPR132	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD40LG	PARP8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD40LG	ICOSLG	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD40LG	GZMM	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CD40LG	TBX21	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD40LG	RORC	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CD40LG	TBC1D10C	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD40LG	TNFRSF4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPOCK2	GPR132	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
SPOCK2	PARP8	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SPOCK2	GZMM	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SPOCK2	PSD4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
SPOCK2	TBC1D10C	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0
SPOCK2	CD40LG	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RAG2	TRAC	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAG2	TNFRSF4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAG2	AK2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAG2	IL21	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAG2	CD40LG	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RASA3	SPOCK2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AGAP2	GPR132	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AGAP2	PARP8	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGAP2	GZMM	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGAP2	TBX21	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGAP2	PSD4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AGAP2	TBC1D10C	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGAP2	SPOCK2	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
RAC1	AGAP2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAPBP	CYP26C1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAPBP	KHDC3L	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAPBP	TBX21	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAPBP	CYP2C19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKDC	PRIM1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FCGR3A	CYP26C1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGR3A	KHDC3L	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGR3A	TBX21	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGR3A	PSD4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FCGR3A	CYP2C19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGR3A	TNFRSF4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGR3A	AK2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGR3A	IL21	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGR3A	TAPBP	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLNK	ICOSLG	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLNK	PSD4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BLNK	RORC	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BLNK	TBC1D10C	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
BLNK	AK2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLNK	IL21	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLNK	RAG2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLNK	TAPBP	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLNK	FCGR3A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3R6	GPR132	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PIK3R6	PARP8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3R6	GZMM	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3R6	TBX21	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3R6	PSD4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
PIK3R6	TBC1D10C	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PIK3R6	TNFRSF4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3R6	CD40LG	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3R6	AGAP2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3R6	BLNK	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CCL4	GPR132	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CCL4	GZMM	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CCL4	TBX21	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CCL4	PSD4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CCL4	TNFRSF4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CCL5	GPR132	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CCL5	PARP8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL5	ICOSLG	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CCL5	GZMM	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CCL5	TBX21	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CCL5	PSD4	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CCL5	TBC1D10C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CCL5	TNFRSF4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CCL5	CD40LG	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL5	SPOCK2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL5	AGAP2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL5	BLNK	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL5	PIK3R6	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CCL5	CCL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SPIB	ICOSLG	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
SPIB	GZMM	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPIB	TBX21	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPIB	PSD4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SPIB	RORC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SPIB	TBC1D10C	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPIB	CD40LG	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPIB	BLNK	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
LYN	GPR132	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LYN	PARP8	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYN	ICOSLG	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYN	GZMM	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYN	TBX21	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYN	PSD4	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
LYN	TBC1D10C	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYN	CD40LG	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
